gene	mean	median	longest_isoform	merged
ENSMUSG00000047330	2235	2235	2657	2657
ENSMUSG00000101324	689	689	689	689
ENSMUSG00000072978	443	443	443	443
ENSMUSG00000046334	357	357	357	357
ENSMUSG00002075801	105	105	105	105
ENSMUSG00000050711	2416	2416	2515	2515
ENSMUSG00000099562	1355	1355	1355	1355
ENSMUSG00000077782	126	126	126	126
ENSMUSG00000055067	2401	1229	6871	9184
ENSMUSG00000054702	1410	902	2876	2878
ENSMUSG00000096474	480	480	480	480
ENSMUSG00000102235	1513	1513	1513	1513
ENSMUSG00000026492	1025	828	2449	2804
ENSMUSG00000082395	519	519	519	519
ENSMUSG00000038949	2598	2533	4709	8859
ENSMUSG00000026043	1807	737	5564	9816
ENSMUSG00000046101	2242	2312	3249	5916
ENSMUSG00002074901	141	141	141	141
ENSMUSG00000093178	87	87	87	87
ENSMUSG00000099032	3416	3416	4193	4193
ENSMUSG00000104025	1374	1374	1374	1374
ENSMUSG00000038936	1917	1883	3561	7562
ENSMUSG00000042772	2876	2300	5792	6341
ENSMUSG00000100394	1779	1779	1779	1779
ENSMUSG00000103840	438	438	438	438
ENSMUSG00000087236	2565	3084	3538	3552
ENSMUSG00000100702	703	703	703	703
ENSMUSG00000026042	2975	2460	6625	9591
ENSMUSG00000104476	7217	7217	7217	7217
ENSMUSG00000073643	1800	710	4551	6488
ENSMUSG00000104497	1791	1791	1791	1791
ENSMUSG00000025916	956	862	1425	1523
ENSMUSG00000087199	656	656	656	656
ENSMUSG00000026248	1154	1154	1424	1644
ENSMUSG00000119658	104	104	104	104
ENSMUSG00000026249	1760	1669	3393	8287
ENSMUSG00000042751	1903	646	4638	5781
ENSMUSG00000067106	891	891	891	891
ENSMUSG00000099969	99	99	99	99
ENSMUSG00000100397	478	478	478	478
ENSMUSG00000099753	264	264	264	264
ENSMUSG00000118883	107	107	107	107
ENSMUSG00000102518	1829	1829	1829	1829
ENSMUSG00000099552	1673	2156	2177	2333
ENSMUSG00000043230	1790	1790	2855	3357
ENSMUSG00000103404	1167	1167	1167	1167
ENSMUSG00000026491	2409	1494	8506	15116
ENSMUSG00000073486	1301	1301	1301	1301
ENSMUSG00000025917	1153	898	2204	3766
ENSMUSG00000104418	460	460	460	460
ENSMUSG00000026479	2385	1536	5164	8039
ENSMUSG00000004364	1584	640	4709	4873
ENSMUSG00000103076	1683	1683	1683	1683
ENSMUSG00000103525	1818	1818	1818	1818
ENSMUSG00000101722	3220	3220	3220	3220
ENSMUSG00000090637	2082	2082	2082	2082
ENSMUSG00000026478	2244	924	7622	8272
ENSMUSG00000110100	594	594	594	594
ENSMUSG00000103818	3341	3341	3341	3341
ENSMUSG00000079138	1047	1047	1047	1047
ENSMUSG00000042708	1716	2092	2375	3710
ENSMUSG00000064435	140	140	140	140
ENSMUSG00000103543	820	820	820	820
ENSMUSG00000099432	560	560	560	560
ENSMUSG00000041144	5053	3465	12319	19984
ENSMUSG00000119743	119	119	119	119
ENSMUSG00000042699	2571	2346	4616	9603
ENSMUSG00000101262	1953	1953	1953	1953
ENSMUSG00000042684	1512	1512	1735	2961
ENSMUSG00000099858	1070	1070	1070	1070
ENSMUSG00000101337	2942	672	12207	12603
ENSMUSG00000025986	2233	1468	5498	6095
ENSMUSG00000100213	951	951	951	951
ENSMUSG00000103129	3870	3870	3870	3870
ENSMUSG00000100160	297	297	297	297
ENSMUSG00000101921	238	238	238	238
ENSMUSG00000101447	488	488	488	488
ENSMUSG00000081185	729	729	729	729
ENSMUSG00000103246	1942	1942	1942	1942
ENSMUSG00000098876	105	105	105	105
ENSMUSG00000100530	742	742	742	742
ENSMUSG00000104067	906	906	906	906
ENSMUSG00000100033	1938	1938	1938	1938
ENSMUSG00002075213	121	121	121	121
ENSMUSG00002076633	270	270	270	270
ENSMUSG00000101996	827	827	827	827
ENSMUSG00000096973	986	986	986	986
ENSMUSG00000064943	121	121	121	121
ENSMUSG00000100866	213	213	213	213
ENSMUSG00000101721	1373	1373	1373	1373
ENSMUSG00000099376	832	832	832	832
ENSMUSG00000097883	1011	1011	1011	1011
ENSMUSG00002076043	442	442	442	442
ENSMUSG00000099698	215	215	215	215
ENSMUSG00000056763	1305	670	5009	17553
ENSMUSG00000099454	887	887	887	887
ENSMUSG00000051616	541	541	554	582
ENSMUSG00000099627	1706	1706	1706	1706
ENSMUSG00000099577	440	440	440	440
ENSMUSG00000099882	437	437	437	437
ENSMUSG00000101760	704	704	704	704
ENSMUSG00000102356	920	920	920	920
ENSMUSG00000099608	1493	1493	1493	1493
ENSMUSG00000099864	726	726	726	726
ENSMUSG00002075839	132	132	132	132
ENSMUSG00000100451	528	528	528	528
ENSMUSG00000099941	162	162	162	162
ENSMUSG00002075589	314	314	314	314
ENSMUSG00000100816	2327	2327	2327	2327
ENSMUSG00000042671	2244	739	8474	9640
ENSMUSG00000100945	714	714	714	714
ENSMUSG00000102404	1916	1916	1916	1916
ENSMUSG00000100334	3337	3337	3337	3337
ENSMUSG00000026109	1937	1996	3343	6707
ENSMUSG00000026475	2339	2339	2339	2339
ENSMUSG00000099568	613	613	613	613
ENSMUSG00000100671	1475	1475	1475	1475
ENSMUSG00002075527	101	101	101	101
ENSMUSG00000101242	226	226	226	226
ENSMUSG00000099924	2273	2273	2273	2273
ENSMUSG00000099625	2528	2528	2528	2528
ENSMUSG00000101799	2552	2552	2552	2552
ENSMUSG00000045954	3055	3055	3055	3055
ENSMUSG00000099741	1025	1025	1025	1025
ENSMUSG00000101702	548	548	548	548
ENSMUSG00000066800	2480	2566	4150	6641
ENSMUSG00000100183	762	762	762	762
ENSMUSG00000067851	2206	986	6978	11318
ENSMUSG00002076532	240	240	240	240
ENSMUSG00000102556	1722	1722	1722	1722
ENSMUSG00000038608	4089	3472	7198	18267
ENSMUSG00000042501	2280	1873	4752	6840
ENSMUSG00000103810	2745	2745	2745	2745
ENSMUSG00000083422	1456	1456	1456	1456
ENSMUSG00000119312	107	107	107	107
ENSMUSG00000042641	2256	2244	3747	5219
ENSMUSG00000081417	492	492	492	492
ENSMUSG00000103448	1922	1922	1922	1922
ENSMUSG00000103192	3556	3556	3556	3556
ENSMUSG00000104488	1856	1856	1856	1856
ENSMUSG00000100212	1242	1242	1242	1242
ENSMUSG00000102721	1833	1833	1833	1833
ENSMUSG00000100648	759	759	759	759
ENSMUSG00002076499	91	91	91	91
ENSMUSG00000099949	452	452	452	452
ENSMUSG00000099918	472	472	472	472
ENSMUSG00000045968	2208	1851	3121	4905
ENSMUSG00000043282	2527	2527	2527	2527
ENSMUSG00000102459	2557	2557	2557	2557
ENSMUSG00000047053	1317	1317	1317	1317
ENSMUSG00000099227	111	111	111	111
ENSMUSG00000026107	2331	2742	4790	8498
ENSMUSG00000099413	2259	2259	3049	3979
ENSMUSG00000103424	2365	2365	2365	2365
ENSMUSG00000104029	2004	2004	2004	2004
ENSMUSG00000101986	2929	2929	2929	2929
ENSMUSG00000087008	985	985	985	985
ENSMUSG00000026473	1232	681	2792	3782
ENSMUSG00000100014	597	597	597	597
ENSMUSG00000101903	664	664	686	842
ENSMUSG00000100502	586	586	586	586
ENSMUSG00000088669	105	105	105	105
ENSMUSG00000066797	1892	1892	1892	1892
ENSMUSG00000048960	2923	1983	11053	16609
ENSMUSG00000099933	613	613	613	613
ENSMUSG00000100221	507	507	534	786
ENSMUSG00002076439	120	120	120	120
ENSMUSG00000100031	553	553	553	553
ENSMUSG00000077318	128	128	128	128
ENSMUSG00000101827	609	609	609	609
ENSMUSG00000103494	3039	3039	3039	3039
ENSMUSG00000067158	5685	5685	10108	10612
ENSMUSG00000079465	2907	1276	8554	9967
ENSMUSG00002075966	98	98	98	98
ENSMUSG00000097564	1678	1001	3377	4343
ENSMUSG00000101880	473	473	473	473
ENSMUSG00000101433	211	211	211	211
ENSMUSG00000096950	3281	3281	3281	3281
ENSMUSG00000056708	3276	3276	3276	3276
ENSMUSG00000026471	2469	2512	3214	5981
ENSMUSG00000057715	2718	1856	6451	9183
ENSMUSG00000026470	1521	902	4589	10637
ENSMUSG00000103825	2471	2471	2471	2471
ENSMUSG00000099845	262	262	262	262
ENSMUSG00000103561	2144	2144	2144	2144
ENSMUSG00000101610	873	873	873	873
ENSMUSG00000104181	588	588	588	588
ENSMUSG00000118923	107	107	107	107
ENSMUSG00000098555	121	121	121	121
ENSMUSG00000097628	807	807	807	807
ENSMUSG00000098163	687	687	687	687
ENSMUSG00000097171	3200	3200	3200	3200
ENSMUSG00000101314	853	853	853	853
ENSMUSG00000033722	1816	835	4873	8222
ENSMUSG00000103670	285	285	285	285
ENSMUSG00000026150	1429	1501	3918	9757
ENSMUSG00000101450	1017	1017	1017	1017
ENSMUSG00000026149	1055	1055	1508	1508
ENSMUSG00000114299	420	420	420	420
ENSMUSG00000099771	183	183	183	183
ENSMUSG00000102280	1046	1046	1046	1046
ENSMUSG00000100170	365	365	365	365
ENSMUSG00000100744	391	391	391	391
ENSMUSG00002074851	53	53	53	53
ENSMUSG00000026469	3806	2881	7492	17880
ENSMUSG00002076398	124	124	124	124
ENSMUSG00000018417	1956	969	5052	10792
ENSMUSG00000101724	1279	1279	1279	1279
ENSMUSG00000100313	2499	2499	2499	2499
ENSMUSG00000100696	412	412	412	412
ENSMUSG00002075355	122	122	122	122
ENSMUSG00000072324	598	598	598	598
ENSMUSG00000026490	3448	3033	9161	21522
ENSMUSG00000033701	1575	842	5592	6453
ENSMUSG00000102194	2539	2539	2539	2539
ENSMUSG00000103636	2671	2671	2671	2671
ENSMUSG00000026468	3221	3221	5514	5740
ENSMUSG00000103180	129	129	129	129
ENSMUSG00000062939	1818	1843	2982	3872
ENSMUSG00000101628	3532	3532	3532	3532
ENSMUSG00000078291	432	432	432	432
ENSMUSG00000109599	1170	1170	1170	1170
ENSMUSG00000033684	2027	2548	3395	8291
ENSMUSG00000102299	235	235	235	235
ENSMUSG00000102558	614	614	614	614
ENSMUSG00000016918	2936	2714	5598	11294
ENSMUSG00000033671	3469	1340	13307	16520
ENSMUSG00000103717	259	259	259	259
ENSMUSG00000103771	306	306	306	306
ENSMUSG00000026489	952	528	4026	5293
ENSMUSG00000104520	614	614	760	1080
ENSMUSG00000025938	4598	3652	8509	13137
ENSMUSG00000026159	3020	2624	8044	8384
ENSMUSG00000104518	551	551	551	551
ENSMUSG00000069620	321	321	321	321
ENSMUSG00000099498	288	288	288	288
ENSMUSG00000113880	806	806	806	806
ENSMUSG00000113973	796	796	796	796
ENSMUSG00000113846	829	829	829	829
ENSMUSG00000113084	830	830	830	830
ENSMUSG00000042414	2564	2564	2564	2564
ENSMUSG00000113925	828	828	828	828
ENSMUSG00000114011	639	639	639	639
ENSMUSG00000113097	933	933	933	933
ENSMUSG00000101784	1426	1426	1426	1426
ENSMUSG00000038496	2138	1892	2974	3065
ENSMUSG00000100432	630	630	630	630
ENSMUSG00000100190	957	957	957	957
ENSMUSG00000113267	1015	1015	1015	1015
ENSMUSG00000104423	1093	1093	1093	1093
ENSMUSG00000101315	992	992	992	992
ENSMUSG00000099691	372	372	372	372
ENSMUSG00000026166	994	794	1417	1421
ENSMUSG00000101173	398	398	398	398
ENSMUSG00000053161	1322	1351	1651	2140
ENSMUSG00000101896	841	841	841	841
ENSMUSG00002075005	121	121	121	121
ENSMUSG00000010609	1297	1462	2020	4332
ENSMUSG00000026163	4174	5757	8154	9602
ENSMUSG00000079140	788	788	788	788
ENSMUSG00000104374	1289	1289	1289	1289
ENSMUSG00000104219	803	803	803	803
ENSMUSG00000100580	1471	1471	1509	2146
ENSMUSG00000038855	5414	5414	6235	10463
ENSMUSG00002076780	121	121	121	121
ENSMUSG00000104388	7350	7350	7350	7350
ENSMUSG00000077736	124	124	124	124
ENSMUSG00000103123	872	872	872	872
ENSMUSG00000103772	3071	3071	3071	3071
ENSMUSG00000053963	1818	1080	6506	7375
ENSMUSG00000104210	3733	3733	3733	3733
ENSMUSG00000102608	681	681	681	681
ENSMUSG00000045658	1425	1275	2664	8172
ENSMUSG00000102750	1644	1644	1644	1644
ENSMUSG00000101934	546	546	546	546
ENSMUSG00000098851	113	113	113	113
ENSMUSG00000015484	3882	3882	3882	3882
ENSMUSG00000048402	1567	911	6637	6869
ENSMUSG00000098273	81	81	81	81
ENSMUSG00000097408	1380	1380	1380	1380
ENSMUSG00000096939	980	980	980	980
ENSMUSG00000100767	792	792	792	792
ENSMUSG00000099860	768	768	768	768
ENSMUSG00000101179	2014	2014	2659	3888
ENSMUSG00000037035	4255	4255	4255	4255
ENSMUSG00000036766	1746	1389	3632	4784
ENSMUSG00000104396	2897	2897	2897	2897
ENSMUSG00000102481	4255	4255	4255	4255
ENSMUSG00000005886	3362	2944	8171	15642
ENSMUSG00000093254	77	77	77	77
ENSMUSG00000004451	1884	2289	2742	4930
ENSMUSG00000101437	393	393	393	393
ENSMUSG00000103506	2253	2253	2253	2253
ENSMUSG00000098447	607	607	607	607
ENSMUSG00000103495	1626	1626	1626	1626
ENSMUSG00002076346	82	82	82	82
ENSMUSG00000102639	695	695	695	695
ENSMUSG00000098923	1752	1752	2824	2824
ENSMUSG00000104170	1872	1872	1872	1872
ENSMUSG00000087782	112	112	112	112
ENSMUSG00000101731	1993	1993	2414	2637
ENSMUSG00000103085	4642	4642	4642	4642
ENSMUSG00000084505	104	104	104	104
ENSMUSG00000102664	2248	2248	2248	2248
ENSMUSG00000101476	681	681	681	681
ENSMUSG00000101171	644	644	644	644
ENSMUSG00000026496	980	556	3873	5293
ENSMUSG00000025935	1343	594	2938	3162
ENSMUSG00000025937	2447	2447	4494	4566
ENSMUSG00000102982	1266	1266	1266	1266
ENSMUSG00000067813	1926	1926	1926	1926
ENSMUSG00000077368	131	131	131	131
ENSMUSG00000097711	997	997	997	997
ENSMUSG00000102166	2249	2249	2249	2249
ENSMUSG00002075174	308	308	308	308
ENSMUSG00000104209	3605	3605	3605	3605
ENSMUSG00000026219	2563	1516	9632	16601
ENSMUSG00000103505	2033	2033	2033	2033
ENSMUSG00000104503	4716	4716	4716	4716
ENSMUSG00000073633	1145	994	1713	2148
ENSMUSG00000026220	1791	1791	3207	3352
ENSMUSG00000118590	1120	1120	1120	1120
ENSMUSG00000099693	255	255	255	255
ENSMUSG00000026104	2436	2695	5151	7105
ENSMUSG00000026383	2711	2288	6870	14758
ENSMUSG00000099569	888	888	888	888
ENSMUSG00000102687	926	926	926	926
ENSMUSG00000060743	933	724	2841	3504
ENSMUSG00000073485	1567	1567	2905	3044
ENSMUSG00000084558	108	108	108	108
ENSMUSG00000038806	2068	2068	3213	3471
ENSMUSG00000052477	979	739	1948	3827
ENSMUSG00000103979	177	177	177	177
ENSMUSG00000064281	591	591	591	591
ENSMUSG00002076475	80	80	80	80
ENSMUSG00000118640	891	891	891	891
ENSMUSG00000104251	272	272	272	272
ENSMUSG00000061852	331	331	331	331
ENSMUSG00000089976	189	189	189	189
ENSMUSG00000101279	694	694	694	694
ENSMUSG00000066652	1447	1447	2473	2611
ENSMUSG00000025932	2277	2199	4366	7808
ENSMUSG00002075819	100	100	100	100
ENSMUSG00000102588	439	439	439	439
ENSMUSG00000054493	1803	1803	2920	3566
ENSMUSG00000089844	924	789	1492	1603
ENSMUSG00000073631	967	967	1563	1563
ENSMUSG00000026520	1528	1309	2717	2958
ENSMUSG00000025930	1109	983	1741	2546
ENSMUSG00000103492	4321	4321	4321	4321
ENSMUSG00000081201	288	288	288	288
ENSMUSG00000038793	1101	1101	1620	1758
ENSMUSG00000082193	894	894	894	894
ENSMUSG00000090128	193	193	193	193
ENSMUSG00000026384	1803	554	10874	11321
ENSMUSG00000091876	318	318	318	318
ENSMUSG00000103146	8163	8163	8163	8163
ENSMUSG00000100436	342	342	342	342
ENSMUSG00000090277	363	363	363	363
ENSMUSG00000100042	230	230	230	230
ENSMUSG00000100636	664	664	664	664
ENSMUSG00000101224	775	775	775	775
ENSMUSG00000036975	3341	3341	3341	3341
ENSMUSG00000032769	3775	3775	4263	4263
ENSMUSG00000088159	120	120	120	120
ENSMUSG00000073737	996	996	996	996
ENSMUSG00000092083	9404	9404	14845	15165
ENSMUSG00000102937	1533	1533	1533	1533
ENSMUSG00000104149	2089	2089	2089	2089
ENSMUSG00000088829	112	112	112	112
ENSMUSG00000026519	1208	600	3306	4492
ENSMUSG00000085563	643	643	643	643
ENSMUSG00000103930	132	132	132	132
ENSMUSG00000036962	2006	2511	2871	2915
ENSMUSG00000092245	520	520	520	520
ENSMUSG00000026387	1915	1915	2012	2012
ENSMUSG00000038776	1179	1220	1741	1950
ENSMUSG00000050777	1311	1311	1311	1311
ENSMUSG00000103516	111	111	111	111
ENSMUSG00000102858	3452	3452	3452	3452
ENSMUSG00000038768	1898	1898	1898	1898
ENSMUSG00000104390	647	647	647	647
ENSMUSG00000103328	500	500	500	500
ENSMUSG00000102219	947	947	947	947
ENSMUSG00000026516	3043	1502	9392	13488
ENSMUSG00000103178	1137	1137	1137	1137
ENSMUSG00000062169	1622	622	3268	3783
ENSMUSG00000026103	1840	836	5596	15057
ENSMUSG00000099648	1399	1399	1399	1399
ENSMUSG00000065192	109	109	109	109
ENSMUSG00000002881	1966	1371	3874	4100
ENSMUSG00000097833	996	996	996	996
ENSMUSG00000101501	463	463	463	463
ENSMUSG00000100120	701	701	701	701
ENSMUSG00000099878	2943	2943	2943	2943
ENSMUSG00000100007	642	642	642	642
ENSMUSG00000058665	2624	2624	2624	2624
ENSMUSG00000099957	1154	1154	1154	1154
ENSMUSG00000101700	495	495	495	495
ENSMUSG00000104332	695	695	695	695
