gene	mean	median	longest_isoform	merged
ENSG00000117148	1755	1755	1841	1844
ENSG00000230585	811	811	811	811
ENSG00000117000	6232	6232	6232	6232
ENSG00000284989	4037	4037	4037	4037
ENSG00000231630	429	429	429	429
ENSG00000092853	3756	3993	8512	9591
ENSG00000255811	560	560	560	560
ENSG00000134697	967	630	2409	5747
ENSG00000187513	1340	1340	1621	1716
ENSG00000225671	595	595	595	595
ENSG00000116151	1697	1645	4764	11337
ENSG00000006555	1842	2149	3401	6111
ENSG00000236111	681	681	681	681
ENSG00000214114	1110	784	2532	2773
ENSG00000116544	2660	3587	3921	4042
ENSG00000236723	679	679	835	1227
ENSG00000232467	601	601	601	601
ENSG00000117016	4333	4333	7259	7259
ENSG00000163866	2271	1768	5694	10337
ENSG00000237130	370	370	370	370
ENSG00000232335	539	539	539	539
ENSG00000232762	752	752	752	752
ENSG00000162384	1140	1009	1912	4504
ENSG00000162391	1709	1709	1975	2006
ENSG00000117859	1697	863	4520	10273
ENSG00000162396	2356	2356	2356	2356
ENSG00000284686	1340	1267	1675	2655
ENSG00000162378	5218	5218	8143	8206
ENSG00000259818	3591	3591	3591	3591
ENSG00000234318	447	447	447	447
ENSG00000227485	359	359	359	359
ENSG00000236646	270	270	270	270
ENSG00000243725	1725	1998	2356	3488
ENSG00000171872	1927	1927	3160	3160
ENSG00000162407	1450	696	3273	5272
ENSG00000163877	2198	1846	4554	5718
ENSG00000228929	455	455	455	455
ENSG00000224570	1797	1797	1797	1797
ENSG00000224980	433	433	433	433
ENSG00000278967	1819	1819	1819	1819
ENSG00000157184	2600	2671	4539	10089
ENSG00000198815	3655	5106	5352	6896
ENSG00000134744	2154	1010	5858	16199
ENSG00000233910	721	721	721	721
ENSG00000287703	1426	1426	1426	1426
ENSG00000283039	3159	3159	3159	3159
ENSG00000229294	512	512	512	512
ENSG00000236973	1000	1000	1000	1000
ENSG00000277397	718	718	718	718
ENSG00000162385	647	675	738	1363
ENSG00000275350	585	585	585	585
ENSG00000123080	1991	2076	2904	3018
ENSG00000285778	1833	1672	2291	3776
ENSG00000233407	250	250	250	250
ENSG00000162598	1540	1307	3012	4422
ENSG00000280317	301	301	301	301
ENSG00000162415	3129	3129	5868	6095
ENSG00000162600	856	744	2105	3718
ENSG00000116704	6193	6193	6193	6193
ENSG00000157193	2832	2800	10750	19668
ENSG00000116205	3670	2538	10429	12168
ENSG00000233994	608	608	608	608
ENSG00000227556	107	107	107	107
ENSG00000162607	2126	2200	3602	3869
ENSG00000285954	886	886	886	886
ENSG00000233333	757	757	757	757
ENSG00000154027	1101	563	3929	6948
ENSG00000234108	331	331	331	331
ENSG00000232676	1124	1124	1124	1124
ENSG00000213579	457	457	457	457
ENSG00000137960	2045	2045	3778	3904
ENSG00000237852	423	423	423	423
ENSG00000132855	1350	751	2926	3371
ENSG00000270549	238	238	238	238
ENSG00000237163	303	303	303	303
ENSG00000229636	1491	1491	1491	1491
ENSG00000116675	2667	1121	5962	6958
ENSG00000162433	3217	1189	6998	7578
ENSG00000213625	1821	520	4625	5237
ENSG00000233664	321	321	321	321
ENSG00000158966	4711	5410	5933	7022
ENSG00000213703	546	546	546	546
ENSG00000233674	271	271	271	271
ENSG00000153898	1674	1719	3044	3442
ENSG00000117069	1899	787	5547	6059
ENSG00000125703	1513	665	2944	3116
ENSG00000234144	226	226	226	226
ENSG00000277670	263	263	263	263
ENSG00000227466	456	456	456	456
ENSG00000230498	2086	2086	2086	2086
ENSG00000162618	1652	791	3672	5798
ENSG00000224493	670	670	670	670
ENSG00000131233	2091	2091	2281	2439
ENSG00000229225	157	157	157	157
ENSG00000225598	580	580	580	580
ENSG00000137941	3944	2289	8452	10547
ENSG00000286548	3326	3794	4186	6245
ENSG00000066135	1460	852	4486	5184
ENSG00000272094	879	879	879	879
ENSG00000228853	534	534	534	534
ENSG00000284895	81	81	81	81
ENSG00000117174	6141	6141	6203	6203
ENSG00000184313	3112	3413	4542	9088
ENSG00000288543	497	497	497	497
ENSG00000122420	4017	4393	5429	5764
ENSG00000143013	1942	1106	4993	5421
ENSG00000226084	555	555	555	555
ENSG00000134748	2406	1059	5233	5617
ENSG00000142892	2503	1926	4601	5514
ENSG00000229332	562	562	562	562
ENSG00000227937	382	382	382	382
ENSG00000229752	739	739	739	739
ENSG00000233216	322	322	322	322
ENSG00000197273	597	597	597	597
ENSG00000226804	1160	1160	1160	1160
ENSG00000230728	623	623	623	623
ENSG00000232846	879	879	879	879
ENSG00000230787	1111	1111	1111	1111
ENSG00000116641	2276	765	8283	24890
ENSG00000172260	3907	726	12613	13208
ENSG00000285473	716	716	716	716
ENSG00000234578	470	470	470	470
ENSG00000229505	736	736	736	736
ENSG00000228187	571	571	571	571
ENSG00000182183	1224	1196	1992	2684
ENSG00000236407	619	619	619	619
ENSG00000271949	654	654	654	654
ENSG00000227062	418	418	418	418
ENSG00000067334	1951	811	5896	7518
ENSG00000235011	355	355	355	355
ENSG00000213559	922	922	922	922
ENSG00000287587	1188	1188	1188	1188
ENSG00000142949	3187	2744	7720	10712
ENSG00000232882	621	621	621	621
ENSG00000171502	3279	2376	6834	9568
ENSG00000116157	1051	1051	1229	1692
ENSG00000143036	1709	1994	2381	2869
ENSG00000065243	2163	1632	6070	6897
ENSG00000226960	589	589	589	589
ENSG00000234080	877	877	877	877
ENSG00000285409	597	597	597	597
ENSG00000117528	2407	3174	4367	7655
ENSG00000271723	5170	5514	6090	7090
ENSG00000036549	2025	686	6412	9008
ENSG00000225191	1240	1240	1240	1240
ENSG00000287870	1211	1211	1211	1211
ENSG00000232048	859	859	859	859
ENSG00000232857	835	835	835	835
ENSG00000273637	2171	2171	2171	2171
ENSG00000228838	675	675	675	675
ENSG00000283761	3098	2815	5352	5765
ENSG00000189433	1444	1444	1444	1444
ENSG00000142700	2960	2960	3080	3168
ENSG00000233514	360	360	360	360
ENSG00000127124	6271	2369	12617	14625
ENSG00000266993	754	747	1290	1819
ENSG00000229316	653	653	653	653
ENSG00000234099	1058	1058	1058	1058
ENSG00000137936	1738	1607	3229	6919
ENSG00000232752	643	643	643	643
ENSG00000235829	326	326	326	326
ENSG00000143032	2044	2044	2044	2044
ENSG00000280040	672	672	672	672
ENSG00000117519	1215	792	1991	2783
ENSG00000238037	274	274	274	274
ENSG00000134215	1654	1293	5025	7306
ENSG00000227935	708	708	708	708
ENSG00000228502	1389	1389	1389	1389
ENSG00000271277	379	379	379	379
ENSG00000236888	360	360	360	360
ENSG00000230828	346	346	346	346
ENSG00000152078	2188	800	6805	7385
ENSG00000171492	1567	905	3950	4852
ENSG00000233129	766	766	766	766
ENSG00000170989	2250	2607	2778	5223
ENSG00000237897	593	593	593	593
ENSG00000116299	2182	1115	6880	9194
ENSG00000137962	4944	3439	8952	18370
ENSG00000286692	486	486	486	486
ENSG00000260464	1766	1766	1766	1766
ENSG00000231996	152	152	152	152
ENSG00000117154	1316	1407	1892	3033
ENSG00000162377	2448	2448	3988	4148
ENSG00000116774	1640	1934	2063	2821
ENSG00000287756	1453	1453	1453	1453
ENSG00000284652	1765	1765	1765	1765
ENSG00000023909	2274	1816	4883	5426
ENSG00000069702	2830	2908	6455	8577
ENSG00000228399	343	343	343	343
ENSG00000236776	460	460	460	460
ENSG00000271252	287	287	287	287
ENSG00000235794	331	331	331	331
ENSG00000233983	399	399	399	399
ENSG00000198198	3634	2204	14136	26354
ENSG00000116793	2096	1905	4314	7170
ENSG00000232918	488	488	488	488
ENSG00000183298	880	880	880	880
ENSG00000117525	1460	1536	2298	2886
ENSG00000162699	943	943	943	943
ENSG00000203914	1567	1567	1567	1567
ENSG00000270457	338	338	338	338
ENSG00000231987	1994	1994	1994	1994
ENSG00000229842	667	667	667	667
ENSG00000198162	2509	724	8576	9667
ENSG00000171517	2577	3345	3515	3536
ENSG00000203864	386	386	386	386
ENSG00000233482	352	352	352	352
ENSG00000143079	2245	1236	5864	7371
ENSG00000232450	748	748	748	748
ENSG00000235038	620	620	620	620
ENSG00000173947	1873	1519	3774	3949
ENSG00000134198	1286	732	3216	3413
ENSG00000279513	1492	1492	1492	1492
ENSG00000117620	2839	2180	14321	18235
ENSG00000162688	6346	7136	7446	8157
ENSG00000197106	3480	3480	6419	6636
ENSG00000231072	1003	1003	1003	1003
ENSG00000185946	1569	768	3658	6867
ENSG00000162627	1127	1562	1736	2067
ENSG00000265808	4578	4578	6927	9039
ENSG00000225923	742	742	742	742
ENSG00000134247	2441	553	6314	6488
ENSG00000162664	5664	5694	9729	10988
ENSG00000134253	2246	2415	3536	4368
ENSG00000223416	348	348	348	348
ENSG00000179571	2119	2119	2119	2119
ENSG00000227850	180	180	180	180
ENSG00000285532	849	849	944	1014
ENSG00000226755	508	508	508	508
ENSG00000183508	5654	5654	5654	5654
ENSG00000277095	1807	1807	1807	1807
ENSG00000264145	675	675	675	675
ENSG00000238256	143	143	143	143
ENSG00000198765	1893	1677	3462	4278
ENSG00000143398	1408	600	3800	5405
ENSG00000196505	2510	1064	8819	10487
ENSG00000223489	2629	2629	2629	2629
ENSG00000230546	141	141	141	141
ENSG00000213262	828	828	828	828
ENSG00000287015	719	719	719	719
ENSG00000235526	508	508	508	508
ENSG00000228347	525	525	525	525
ENSG00000236012	281	281	281	281
ENSG00000134200	528	528	528	528
ENSG00000065183	3112	883	10004	10276
ENSG00000226126	1314	1314	1314	1314
ENSG00000163156	960	862	1913	3264
ENSG00000228453	381	381	381	381
ENSG00000261168	1536	1536	1536	1536
ENSG00000233432	1548	1548	1548	1548
ENSG00000229911	680	680	680	680
ENSG00000171943	2026	542	7091	7335
ENSG00000270719	214	214	214	214
ENSG00000155761	1286	574	7203	9828
ENSG00000116830	2021	803	9439	10158
ENSG00000234422	340	340	340	340
ENSG00000227091	712	797	1155	1660
ENSG00000081026	3779	3753	6874	8414
ENSG00000143458	2377	1014	8807	9189
ENSG00000230932	579	579	579	579
ENSG00000225036	828	828	828	828
ENSG00000250890	157	157	157	157
ENSG00000232240	243	243	243	243
ENSG00000234388	301	301	301	301
ENSG00000233717	171	171	171	171
ENSG00000163155	1732	1732	2462	2508
ENSG00000241975	318	318	318	318
ENSG00000270976	213	213	213	213
ENSG00000228217	420	420	420	420
ENSG00000270342	403	403	403	403
ENSG00000116824	1021	1021	1565	1635
ENSG00000235887	408	408	408	408
ENSG00000235756	1135	1135	1135	1135
ENSG00000173810	489	489	489	489
ENSG00000271890	1029	1029	1029	1029
ENSG00000283360	863	863	863	863
ENSG00000117262	1265	919	2699	5561
ENSG00000227970	1377	1377	1377	1377
ENSG00000231613	509	509	509	509
ENSG00000236689	677	677	677	677
ENSG00000226028	534	534	534	534
ENSG00000203825	2594	2594	2594	2594
ENSG00000184371	1359	1009	3994	5238
ENSG00000233449	673	673	673	673
ENSG00000242943	582	582	582	582
ENSG00000232499	1029	1029	1029	1029
ENSG00000163154	1158	1158	1158	1158
ENSG00000232995	740	616	1441	3626
ENSG00000238087	1600	1600	1600	1600
ENSG00000143158	1681	2177	2223	2638
ENSG00000271092	1085	1085	1491	1961
ENSG00000232148	1370	1370	1370	1370
ENSG00000000460	2431	2661	4355	5970
ENSG00000135862	1926	741	7929	8446
ENSG00000232952	1779	1779	1779	1779
ENSG00000260322	1976	1976	1976	1976
ENSG00000143156	1122	769	4298	5718
ENSG00000198771	2149	1329	5443	8165
ENSG00000225462	1071	1071	1071	1071
ENSG00000237756	469	469	469	469
ENSG00000271187	219	219	219	219
ENSG00000231175	2216	2216	2216	2216
ENSG00000143185	562	562	562	562
ENSG00000272931	695	695	695	695
ENSG00000143190	6269	1896	14332	16031
ENSG00000225475	141	141	141	141
ENSG00000232223	918	918	918	918
ENSG00000224468	479	479	479	479
ENSG00000232551	1559	1559	1559	1559
ENSG00000238270	414	414	414	414
ENSG00000236025	209	209	209	209
ENSG00000230704	677	677	677	677
ENSG00000286754	667	667	667	667
ENSG00000143171	1402	1378	2252	2691
ENSG00000275767	1861	1861	1861	1861
ENSG00000047410	2272	882	9636	12350
ENSG00000171806	1246	1426	1462	1575
ENSG00000134216	1636	1337	4250	4643
ENSG00000230748	625	625	625	625
ENSG00000238108	433	433	433	433
ENSG00000135842	2405	904	6884	8330
ENSG00000287472	1230	1230	1230	1230
ENSG00000241318	928	928	928	928
ENSG00000228238	1021	1021	1021	1021
ENSG00000232393	886	886	886	886
ENSG00000184155	930	930	930	930
ENSG00000058085	2693	2544	5398	6770
ENSG00000232917	291	291	291	291
ENSG00000233057	1376	1376	1376	1376
ENSG00000143167	1585	1612	2549	2946
ENSG00000143184	1227	1227	1227	1227
ENSG00000224691	353	353	353	353
ENSG00000233626	386	386	386	386
ENSG00000143228	1009	873	1964	3362
ENSG00000231714	440	440	440	440
ENSG00000116833	2763	2454	4969	7543
ENSG00000000457	3185	2916	6308	6883
ENSG00000285638	2438	2438	2438	2438
ENSG00000230987	3528	3528	3528	3528
ENSG00000228167	442	442	442	442
ENSG00000150732	228	228	228	228
ENSG00000157064	3271	3507	5448	6943
ENSG00000288139	195	195	195	195
ENSG00000059588	1459	535	5206	7819
ENSG00000162782	3176	3578	3745	4090
ENSG00000238051	448	448	448	448
ENSG00000233196	677	677	677	677
ENSG00000229220	749	749	749	749
ENSG00000227747	790	790	790	790
ENSG00000228081	362	362	362	362
ENSG00000228020	937	937	937	937
ENSG00000234975	412	412	412	412
ENSG00000162851	1784	1784	1784	1784
ENSG00000271427	575	575	575	575
ENSG00000143353	1499	1709	2169	2941
ENSG00000197965	1515	961	4978	7069
ENSG00000143493	2071	820	4447	5326
ENSG00000230777	171	171	171	171
ENSG00000179397	1739	1530	3436	4431
ENSG00000224540	1224	1224	1224	1224
ENSG00000186197	2067	2803	3116	3996
ENSG00000229067	151	151	151	151
ENSG00000261182	2277	2277	2277	2277
ENSG00000162670	1036	557	3128	4273
ENSG00000225712	426	426	426	426
ENSG00000162761	2373	2346	3545	4185
ENSG00000143199	3723	4966	5342	6141
ENSG00000007908	2435	3389	3875	4586
ENSG00000092978	2115	715	5859	8841
ENSG00000188404	1172	701	2442	2731
ENSG00000274702	274	274	274	274
ENSG00000226211	357	357	357	357
ENSG00000203697	1036	710	2596	5174
ENSG00000116574	3965	3965	3965	3965
ENSG00000143248	1429	580	5812	6624
ENSG00000162814	1732	847	5798	6515
ENSG00000225172	1000	1007	1152	1882
ENSG00000261642	3125	3125	3125	3125
ENSG00000228239	399	399	399	399
ENSG00000237283	2157	2157	2157	2157
ENSG00000116132	1506	557	4061	8248
ENSG00000229242	800	800	800	800
ENSG00000152092	3975	3685	7138	9201
ENSG00000234984	1493	1493	1493	1493
ENSG00000229983	510	510	510	510
ENSG00000225122	664	664	664	664
ENSG00000225920	654	654	654	654
ENSG00000143476	2399	2238	4471	4923
ENSG00000057252	5341	6817	6861	7005
ENSG00000285718	1093	1093	1606	1782
ENSG00000233018	226	226	226	226
ENSG00000224783	1819	1819	1819	1819
ENSG00000162852	2740	2594	5127	5933
ENSG00000268062	203	203	203	203
ENSG00000116962	5602	5602	5792	5811
ENSG00000229757	787	787	787	787
ENSG00000220749	483	483	483	483
ENSG00000181450	3803	929	8543	8915
ENSG00000225300	1960	1960	1960	1960
ENSG00000223842	1126	1126	1126	1126
ENSG00000143355	2693	1337	7865	10442
ENSG00000237193	202	202	202	202
ENSG00000223490	400	400	400	400
ENSG00000174502	3241	4286	4791	5628
ENSG00000143195	3040	2242	13360	13946
ENSG00000162849	7289	7187	13593	14404
ENSG00000232824	408	408	408	408
ENSG00000067533	4128	4128	7765	7877
ENSG00000228955	222	222	222	222
ENSG00000224702	692	692	692	692
ENSG00000271811	2045	2045	2045	2045
ENSG00000224278	540	540	540	540
ENSG00000226486	1047	1047	1311	1393
ENSG00000227687	230	230	230	230
ENSG00000231814	1034	1034	1584	1584
ENSG00000277007	2614	2614	2614	2614
ENSG00000229016	711	711	711	711
ENSG00000152104	4736	3842	13360	18752
ENSG00000117650	1355	1318	2134	3095
ENSG00000203724	445	394	600	628
ENSG00000225006	746	746	746	746
ENSG00000223375	216	216	216	216
ENSG00000230714	215	215	215	215
ENSG00000173726	1341	377	3283	3438
ENSG00000282852	177	177	177	177
ENSG00000152382	2317	2317	2539	2900
ENSG00000232100	1728	1728	1728	1728
ENSG00000230547	637	637	637	637
ENSG00000232215	940	940	940	940
ENSG00000135829	1409	831	4493	5898
ENSG00000134717	1382	843	4533	5948
ENSG00000278180	776	776	776	776
ENSG00000232341	1282	1282	1282	1282
ENSG00000287676	715	715	715	715
ENSG00000236792	443	443	443	443
ENSG00000143207	1548	2022	2826	4177
ENSG00000270859	437	437	437	437
ENSG00000238224	271	271	271	271
ENSG00000237492	913	913	913	913
ENSG00000150681	995	674	2145	2801
ENSG00000116906	1548	1381	2685	3261
ENSG00000092969	3208	3280	5868	6050
ENSG00000157181	2071	1900	3820	4073
ENSG00000250762	266	266	266	266
ENSG00000076258	984	719	2303	2542
ENSG00000117697	2907	790	13115	13867
ENSG00000235083	407	407	407	407
ENSG00000162669	1711	1699	4899	5814
ENSG00000225904	703	703	703	703
ENSG00000143641	2500	2766	4423	7712
ENSG00000010932	1644	2077	3130	3602
ENSG00000010072	1751	1231	3559	5906
ENSG00000135766	1717	1090	4335	5381
ENSG00000238054	589	554	784	1202
ENSG00000168243	2775	1721	4978	5194
ENSG00000281453	1371	1371	1371	1371
ENSG00000237469	1279	1279	1279	1279
ENSG00000227613	964	964	964	964
ENSG00000116183	3074	580	9683	10926
ENSG00000231612	447	447	447	447
ENSG00000271036	484	484	484	484
ENSG00000170382	3046	3339	5036	5686
ENSG00000226868	174	174	174	174
ENSG00000279401	2336	2336	2336	2336
ENSG00000287450	138	138	138	138
ENSG00000237011	850	850	850	850
ENSG00000066027	1369	745	3245	3942
ENSG00000173728	716	662	1151	1151
ENSG00000225811	602	602	602	602
ENSG00000273093	533	533	533	533
ENSG00000185523	506	506	506	506
ENSG00000116711	1864	1864	2879	2879
ENSG00000226750	161	161	161	161
ENSG00000285665	661	661	661	661
ENSG00000231022	792	792	792	792
ENSG00000224436	237	237	237	237
ENSG00000234915	387	387	387	387
ENSG00000227585	858	858	858	858
ENSG00000157060	1621	2023	2540	2982
ENSG00000237213	453	453	453	453
ENSG00000213045	517	517	517	517
ENSG00000230063	650	650	650	650
ENSG00000235467	634	634	634	634
ENSG00000123684	2636	1237	7773	8790
ENSG00000225338	468	468	468	468
ENSG00000224407	1029	1029	1029	1029
ENSG00000232463	631	631	631	631
ENSG00000225171	462	462	462	462
ENSG00000235386	105	105	105	105
ENSG00000213690	510	510	510	510
ENSG00000229832	496	496	496	496
ENSG00000237514	514	514	514	514
ENSG00000287856	2633	3252	3288	3690
ENSG00000203705	1028	794	2527	3992
ENSG00000224040	290	290	290	290
ENSG00000228686	629	629	629	629
ENSG00000174175	2150	2402	3157	3490
ENSG00000236401	1259	1259	1259	1259
ENSG00000215800	484	484	484	484
ENSG00000270936	668	668	668	668
ENSG00000008118	1907	2456	3089	3328
ENSG00000171161	1007	583	3045	3741
ENSG00000241505	506	506	506	506
ENSG00000261453	2399	2399	2399	2399
ENSG00000231020	424	424	424	424
ENSG00000270818	1410	1410	1410	1410
ENSG00000196878	2773	3931	4305	4647
ENSG00000225561	593	593	797	834
ENSG00000074964	2648	3018	4625	7954
ENSG00000223847	493	493	493	493
ENSG00000277704	557	557	557	557
ENSG00000240963	642	642	642	642
ENSG00000226570	759	759	759	759
ENSG00000198929	2737	2313	5559	7854
ENSG00000174606	2129	1689	4690	7317
ENSG00000236905	479	479	479	479
ENSG00000227887	330	330	330	330
ENSG00000116903	5100	5100	5100	5100
ENSG00000226196	943	943	943	943
ENSG00000287354	2483	2483	2483	2483
ENSG00000233827	645	645	645	645
ENSG00000198797	2321	2494	4097	4492
ENSG00000151414	1104	586	4114	5454
ENSG00000177614	4353	1569	10914	11257
ENSG00000235182	147	147	147	147
ENSG00000287157	1477	1477	1477	1477
ENSG00000225755	1133	1133	1133	1133
ENSG00000197472	1188	844	3341	3756
ENSG00000230184	361	361	361	361
ENSG00000232436	807	807	807	807
ENSG00000136643	3799	4188	5505	6191
ENSG00000236317	192	192	192	192
ENSG00000176855	1332	1332	1332	1332
ENSG00000225401	685	685	685	685
ENSG00000228190	421	421	421	421
ENSG00000135747	1896	1896	2751	3197
ENSG00000069248	1898	872	5208	6081
ENSG00000253148	1794	1794	1794	1794
ENSG00000227751	311	311	311	311
ENSG00000090104	1165	852	2653	4074
ENSG00000236468	1335	1335	1335	1335
ENSG00000185220	1959	2717	2879	3651
ENSG00000236101	377	377	377	377
ENSG00000162769	1739	599	5919	6422
ENSG00000278684	139	139	139	139
ENSG00000236775	1256	1256	1256	1256
ENSG00000042781	9102	6320	19010	20633
ENSG00000228646	370	370	370	370
ENSG00000233332	1723	1723	1723	1723
ENSG00000231984	400	400	400	400
ENSG00000277462	4197	4197	4197	4197
ENSG00000035687	1431	932	2555	3441
ENSG00000180287	2897	2779	8900	9546
ENSG00000226693	1051	1051	1051	1051
ENSG00000231272	452	452	452	452
ENSG00000223828	270	270	270	270
ENSG00000226723	780	780	780	780
ENSG00000272672	547	547	547	547
ENSG00000235096	696	696	696	696
ENSG00000007341	1523	861	4483	8108
ENSG00000143324	2879	736	8484	8913
ENSG00000225222	427	427	427	427
ENSG00000198842	3151	3815	4170	4274
ENSG00000286619	2347	2409	3168	6230
ENSG00000198756	3357	2412	5179	7806
ENSG00000227554	364	364	364	364
ENSG00000178596	985	985	985	985
ENSG00000054282	979	699	2581	5321
ENSG00000183780	2952	2952	3143	3447
ENSG00000229663	2158	2158	2158	2158
ENSG00000162702	4229	4864	4891	4895
ENSG00000228530	251	251	251	251
ENSG00000143194	1508	1718	2355	3148
ENSG00000054267	3188	3463	6022	11073
ENSG00000287921	729	729	729	729
ENSG00000232166	570	570	570	570
ENSG00000175137	2759	3129	4122	5724
ENSG00000134245	6362	6849	11130	12374
ENSG00000187889	1719	1904	3183	4648
ENSG00000097046	1710	729	3313	3599
ENSG00000231378	502	502	502	502
ENSG00000235605	438	438	438	438
ENSG00000224857	426	426	426	426
ENSG00000273367	626	626	626	626
ENSG00000231605	1130	950	1764	1929
ENSG00000236358	410	410	410	410
ENSG00000203737	1582	1582	1582	1582
ENSG00000215873	1145	1145	1145	1145
ENSG00000185420	906	777	1863	5866
ENSG00000272175	280	280	280	280
ENSG00000213070	598	598	598	598
ENSG00000229747	728	728	728	728
ENSG00000136636	1746	751	4019	5017
ENSG00000225486	353	353	353	353
ENSG00000163874	1590	1623	2721	3091
ENSG00000213068	415	415	415	415
ENSG00000054392	3028	3446	3639	6645
ENSG00000188739	841	725	1847	2939
ENSG00000273198	532	532	532	532
ENSG00000225719	860	860	860	860
ENSG00000273483	643	643	643	643
ENSG00000232809	891	891	891	891
ENSG00000285981	619	619	619	619
ENSG00000215796	1231	1231	1231	1231
ENSG00000233047	1195	1182	2362	3122
ENSG00000143341	4416	720	18368	18739
ENSG00000116703	1204	1204	1234	1331
ENSG00000264341	73	73	73	73
ENSG00000264101	70	70	70	70
ENSG00000252404	184	184	184	184
ENSG00000243267	280	280	280	280
ENSG00000252151	103	103	103	103
ENSG00000252969	124	124	124	124
ENSG00000252956	110	110	110	110
ENSG00000284357	110	110	110	110
ENSG00000207237	104	104	104	104
ENSG00000252691	84	84	84	84
ENSG00000253005	105	105	105	105
ENSG00000207941	96	96	96	96
ENSG00000199963	108	108	108	108
ENSG00000264698	72	72	72	72
ENSG00000207328	107	107	107	107
ENSG00000207466	101	101	101	101
ENSG00000252368	110	110	110	110
ENSG00000206779	101	101	101	101
ENSG00000200796	107	107	107	107
ENSG00000252190	125	125	125	125
ENSG00000283724	60	60	60	60
